dataset,method,k,mean_MAE,median_MAE,p90_MAE,worst_MAE,mean_rank,top3_rate,n
BDG2-24,ExtraTrees-ST,7,3.0775097894839973,0.8057779774223743,6.53927185093123,33.259023940811815,7.375,0.0,24
BDG2-24,Seasonal naive,7,4.633439096156508,0.8041995763778687,9.532249259948728,41.7362174987793,6.145833333333333,0.3333333333333333,24
BDG2-24,M11_REVIN_MSR_DPS_CAL,14,2.2431824591527074,0.37517988868401914,5.465401196489634,27.941932148077328,2.75,0.6666666666666666,24
BDG2-24,M9_REVIN_MSR,14,2.299912049169845,0.30379137553982705,5.633232756609046,29.809923884431864,2.9166666666666665,0.6666666666666666,24
BDG2-24,M3_ANCHOR_REVIN,14,2.397453266953033,0.3024921172762277,6.117409219242768,30.66924861012026,3.8333333333333335,0.4583333333333333,24
BDG2-24,PARBoost,14,2.488227467696366,0.37208262814065707,6.419230685530956,31.84344662373501,3.5,0.5,24
BDG2-24,RF-ST,14,2.829953751063273,0.654952822744361,6.045186696310291,31.72186485401569,6.375,0.041666666666666664,24
BDG2-24,Persistence,14,2.9377679420867935,0.42929112911224365,6.956539106369016,38.40132141113281,4.229166666666667,0.4583333333333333,24
BDG2-24,HistGBDT-ST,14,2.9882734172223917,0.8172041417864115,6.236044041092427,30.77723232450424,7.791666666666667,0.0,24
BDG2-24,ExtraTrees-ST,14,3.024794665797946,0.800448440368633,6.209196046523122,33.24437490624801,7.458333333333333,0.0,24
BDG2-24,Seasonal naive,14,4.633439096156508,0.8041995763778687,9.532249259948728,41.7362174987793,6.145833333333333,0.3333333333333333,24
BDG2-24,M9_REVIN_MSR,30,2.0004894872101056,0.26387639202132435,4.190827760132465,25.379867338958555,2.7916666666666665,0.6666666666666666,24
BDG2-24,M11_REVIN_MSR_DPS_CAL,30,2.0429985187298136,0.3654624630507804,4.2556453162705346,25.217186981346437,2.75,0.6666666666666666,24
BDG2-24,M3_ANCHOR_REVIN,30,2.0727903728465784,0.275437775967766,4.454042776098406,26.32213267104156,3.6666666666666665,0.5416666666666666,24
BDG2-24,PARBoost,30,2.1638980555321274,0.36408557369818106,4.264549805051194,27.365259606046,3.2916666666666665,0.4583333333333333,24
BDG2-24,RF-ST,30,2.7076155608401926,0.6209225069039348,4.868691773793586,31.25612104064494,6.5,0.041666666666666664,24
BDG2-24,HistGBDT-ST,30,2.8100503855669827,0.7220275999692736,5.1490893698781965,30.067499489072656,7.625,0.0,24
BDG2-24,ExtraTrees-ST,30,2.8666142627782727,0.7769574323699343,4.74110422391193,32.14947892494499,7.625,0.0,24
BDG2-24,Persistence,30,2.9377679420867935,0.42929112911224365,6.956539106369016,38.40132141113281,4.229166666666667,0.4583333333333333,24
BDG2-24,Seasonal naive,30,4.633439096156508,0.8041995763778687,9.532249259948728,41.7362174987793,6.520833333333333,0.2916666666666667,24
COFACTOR-44,M9_REVIN_MSR,3,3.518428681930081,2.787564259701722,6.484921557124523,10.335615258964284,1.0909090909090908,1.0,44
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,3,3.684926074230586,2.9447675092705703,6.680068780123376,10.245716550731096,2.840909090909091,0.75,44
COFACTOR-44,ExtraTrees-ST,3,3.8592730095694545,3.363312912485669,6.959681884222773,12.40160752311806,3.0454545454545454,0.6590909090909091,44
COFACTOR-44,PARBoost,3,3.891350985206103,3.1356788975600116,6.948695016753712,11.491798222808216,4.340909090909091,0.3409090909090909,44
COFACTOR-44,RF-ST,3,3.9951370571936566,3.2680436623240725,7.200534247490293,12.545154553183693,4.7272727272727275,0.1590909090909091,44
COFACTOR-44,HistGBDT-ST,3,4.121056584021682,3.7907290743907494,7.784013449395535,13.260400794177478,5.318181818181818,0.09090909090909091,44
COFACTOR-44,Persistence,3,4.395093072544444,3.871438503265381,7.841667127609255,13.373018264770508,6.636363636363637,0.0,44
COFACTOR-44,Seasonal naive,3,8.273146152496338,5.49090313911438,17.01275329589844,25.146255493164062,8.0,0.0,44
COFACTOR-44,M9_REVIN_MSR,7,3.6331043619859034,2.888953775480678,6.590744566771168,10.720022686930657,1.6590909090909092,0.9318181818181818,44
