MAE,RMSE,sMAPE,sigma_err,sigma_score,method,target,k,seed,mode,similarity,gate,calibrate,alpha,alpha_val_mae
5.843602779061397,12.770155093167666,9.370589727093611,11.355510457277386,4.796247928490528,M3_ANCHOR_REVIN,cofactor_6420,30,42,revin,False,False,False,1.0,
5.573413583913526,11.547304292238596,9.145980293977757,10.113947477281325,4.514611210805762,M7_FULL_REVIN_SIM_CAL,cofactor_6420,30,42,revin,True,False,True,1.25,6.780780618645759
1.7372449779740713,2.4910730313292397,13.834660807956709,1.7854580566601108,2.3242322833618663,M1_ANCHOR,cofactor_6421,3,42,anchor,False,False,False,1.0,
1.4268462502984298,2.0041003826030894,11.462535440554067,1.4074085655728967,2.2734414187026077,M3_ANCHOR_REVIN,cofactor_6421,3,42,revin,False,False,False,1.0,
1.67952892739242,2.3578465120073258,13.711297568001813,1.654991583288611,2.2280754317233864,M7_FULL_REVIN_SIM_CAL,cofactor_6421,3,42,revin,True,False,True,1.25,4.1214333947524775
1.6870395260214546,2.416737278325024,13.62173590345231,1.7305854722293836,2.2903566622218205,M1_ANCHOR,cofactor_6421,7,42,anchor,False,False,False,1.0,
1.4873798538294094,2.0990375136121,12.001698127259285,1.4812020588337806,2.3029049777548596,M3_ANCHOR_REVIN,cofactor_6421,7,42,revin,False,False,False,1.0,
1.632422697230981,2.278807488880502,13.274442162215895,1.5901274546484998,2.2098469322175243,M7_FULL_REVIN_SIM_CAL,cofactor_6421,7,42,revin,True,False,True,1.25,4.0964828223026055
1.7086782959353461,2.4598348477700913,13.70491283876504,1.7696423401541654,2.3233004689044012,M1_ANCHOR,cofactor_6421,14,42,anchor,False,False,False,1.0,
1.5970719456244744,2.2722825520108447,12.90746244079369,1.616473432256528,2.711275340668341,M3_ANCHOR_REVIN,cofactor_6421,14,42,revin,False,False,False,1.0,
1.6583393675021225,2.3281002531777464,13.5514083773106,1.6341133158904022,2.1917656500610696,M7_FULL_REVIN_SIM_CAL,cofactor_6421,14,42,revin,True,False,True,1.25,4.145166455296844
1.7012798599852241,2.4137984150906213,13.7404095827346,1.7124457528498227,2.268382452884787,M1_ANCHOR,cofactor_6421,30,42,anchor,False,False,False,1.0,
1.5492040524329451,2.1597255026396387,12.727906816038798,1.5048889008143942,2.1911768739487134,M3_ANCHOR_REVIN,cofactor_6421,30,42,revin,False,False,False,1.0,
1.635234073261782,2.2665135584625347,13.543372339479893,1.5695317628146164,2.1454549787747466,M7_FULL_REVIN_SIM_CAL,cofactor_6421,30,42,revin,True,False,True,1.25,4.126953757750712
1.460678254929753,2.9741333997470654,21.340121024317398,2.5909083477556085,5.440848475068609,M1_ANCHOR,cofactor_6422,3,42,anchor,False,False,False,1.0,
1.2908844904479382,2.3256573298248284,19.047778944526407,1.9346345496253383,5.343300498167841,M3_ANCHOR_REVIN,cofactor_6422,3,42,revin,False,False,False,1.0,
1.4830031466001912,3.084056086387187,20.786826455267736,2.7042749888285753,6.53468981828155,M7_FULL_REVIN_SIM_CAL,cofactor_6422,3,42,revin,True,False,True,0.5,1.6824716396746986
1.5409536217522966,3.369127019774741,21.415090885307848,2.9962820201225933,6.69856975779866,M1_ANCHOR,cofactor_6422,7,42,anchor,False,False,False,1.0,
1.3987824150233226,2.6498509813407543,19.609532788264602,2.2507355259365145,5.460323029304065,M3_ANCHOR_REVIN,cofactor_6422,7,42,revin,False,False,False,1.0,
1.5048637212711233,3.116653512557559,21.31191783270477,2.7294564668715666,6.9928708294827535,M7_FULL_REVIN_SIM_CAL,cofactor_6422,7,42,revin,True,False,True,0.75,1.7413518451449472
1.4980532813793022,3.1878553239772347,21.21086783200428,2.814132264371315,6.327474860808233,M1_ANCHOR,cofactor_6422,14,42,anchor,False,False,False,1.0,
1.349218972845335,2.4483073883822386,19.572869333074074,2.0431318642404848,5.8460024614357495,M3_ANCHOR_REVIN,cofactor_6422,14,42,revin,False,False,False,1.0,
1.4297523816880817,2.811343143229075,20.83288774538643,2.4207972685959076,6.5253500326976015,M7_FULL_REVIN_SIM_CAL,cofactor_6422,14,42,revin,True,False,True,1.0,1.6245729669201705
