dataset,candidate,baseline,k,n,candidate_mean_MAE,baseline_mean_MAE,mean_improvement_MAE,median_improvement_MAE,p10_improvement_MAE,win_rate,negative_transfer_rate,wilcoxon_p_greater
BDG2-24,M9_REVIN_MSR,Persistence,3,24,2.61284821458363,2.937767942086793,0.3249197275031637,0.0372865626112253,-1.329034473446382e-06,0.625,0.3333333333333333,0.0010634682335613
BDG2-24,M9_REVIN_MSR,Persistence,7,24,2.520004500013249,2.937767942086793,0.4177634420735443,0.0541066942758236,-3.243287165815552e-06,0.625,0.375,0.0010004639625549
BDG2-24,M9_REVIN_MSR,Persistence,14,24,2.299912049169845,2.937767942086793,0.6378558929169483,0.0463505863469483,-1.6965950730817645e-05,0.625,0.375,0.0011228919029235
BDG2-24,M9_REVIN_MSR,Persistence,30,24,2.0004894872101056,2.937767942086793,0.937278454876688,0.0454369615342332,-1.6794654175004425e-05,0.625,0.375,0.0011228919029235
BDG2-24,M9_REVIN_MSR,RF-ST,3,24,2.61284821458363,3.217689239517942,0.6048410249343122,0.2774798466574167,0.225251414292693,1.0,0.0,5.960464477539064e-08
BDG2-24,M9_REVIN_MSR,RF-ST,7,24,2.520004500013249,2.9225995014157173,0.4025950014024679,0.2756645158493528,0.1918450017865493,0.9583333333333334,0.0416666666666666,3.814697265625e-05
BDG2-24,M9_REVIN_MSR,RF-ST,14,24,2.299912049169845,2.829953751063273,0.5300417018934277,0.2756590067303214,0.2143304118150581,1.0,0.0,5.960464477539064e-08
BDG2-24,M9_REVIN_MSR,RF-ST,30,24,2.0004894872101056,2.7076155608401926,0.7071260736300866,0.2656846094647288,0.2075616641605307,1.0,0.0,5.960464477539064e-08
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,ExtraTrees-ST,3,44,3.684926074230586,3.8592730095694554,0.1743469353388685,0.0871708246585061,-0.1447222300120479,0.6363636363636364,0.3636363636363636,0.0020470601791657
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,ExtraTrees-ST,7,44,3.731216321061935,3.857648979622794,0.1264326585608595,0.0325923660085027,-0.1619176211272718,0.5681818181818182,0.4318181818181818,0.0286908018618987
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,ExtraTrees-ST,14,44,3.6011452646092708,3.771369673650247,0.1702244090409759,0.0945559869013967,-0.070292820280738,0.7954545454545454,0.2045454545454545,8.805125276012404e-06
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,ExtraTrees-ST,30,44,3.5227622306926705,3.706230800559292,0.1834685698666222,0.1024561832100006,-0.0125741514418476,0.8636363636363636,0.1363636363636363,1.3658620900969254e-07
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,HistGBDT-ST,3,44,3.684926074230586,4.121056584021682,0.4361305097910956,0.1946231097532514,-0.0243836525895273,0.8181818181818182,0.1818181818181818,4.1177941056957934e-08
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,HistGBDT-ST,7,44,3.731216321061935,4.097348538842154,0.3661322177802193,0.1310333399953833,-0.0616180588846022,0.8181818181818182,0.1818181818181818,3.217485300410772e-07
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,HistGBDT-ST,14,44,3.6011452646092708,3.96501467130703,0.3638694066977581,0.2395292906983454,0.0112611214663582,0.9318181818181818,0.0681818181818181,2.1174173525650983e-10
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,HistGBDT-ST,30,44,3.5227622306926705,3.867567498975624,0.3448052682829535,0.2414220839414546,0.0720417773036707,0.9545454545454546,0.0454545454545454,2.5409008230781183e-11
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,PARBoost,3,44,3.684926074230586,3.891350985206103,0.2064249109755172,0.1251083001923271,-0.0316501878636079,0.8409090909090909,0.1590909090909091,6.022060006216634e-08
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,PARBoost,7,44,3.731216321061935,3.9274154584481695,0.1961991373862366,0.1480552812728308,0.0084273687555254,0.9090909090909092,0.0909090909090909,5.481501830217894e-08
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,PARBoost,14,44,3.6011452646092708,3.83224471065072,0.2310994460414475,0.1534956867401031,-0.0106447442060519,0.8863636363636364,0.1136363636363636,3.0746150514460175e-08
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,PARBoost,30,44,3.5227622306926705,3.742703502495439,0.2199412718027693,0.1664614812682286,0.0263328701987073,0.9090909090909092,0.0909090909090909,2.285162281623343e-09
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,Persistence,3,44,3.684926074230586,4.395093072544444,0.7101669983138589,0.5156509249578716,0.1341972410095651,1.0,0.0,5.684341886080803e-14
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,Persistence,7,44,3.731216321061935,4.395093072544444,0.6638767514825102,0.5573636083196567,0.1422938729689429,1.0,0.0,5.684341886080803e-14
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,Persistence,14,44,3.6011452646092708,4.395093072544444,0.7939478079351734,0.6352206596296697,0.2008794391349884,1.0,0.0,5.684341886080803e-14
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,Persistence,30,44,3.5227622306926705,4.395093072544444,0.8723308418517747,0.6572881471784423,0.277631622336461,1.0,0.0,5.684341886080803e-14
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,RF-ST,3,44,3.684926074230586,3.9951370571936566,0.3102109829630703,0.1811500051184673,-0.0613297796040421,0.7954545454545454,0.2045454545454545,2.9601687856484205e-07
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,RF-ST,7,44,3.731216321061935,3.9887827402623017,0.2575664192003669,0.1404205997457843,-0.1039220383851922,0.7727272727272727,0.2272727272727272,4.510254541401082e-06
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,RF-ST,14,44,3.6011452646092708,3.896568449782286,0.2954231851730152,0.1938944660825181,0.0188968630088374,0.9318181818181818,0.0681818181818181,3.261675374233164e-10
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,RF-ST,30,44,3.5227622306926705,3.8220234535849618,0.2992612228922918,0.1890840373515618,0.0517109229061678,0.9545454545454546,0.0454545454545454,3.126388037344441e-12
COFACTOR-44,M9_REVIN_MSR,ExtraTrees-ST,3,44,3.518428681930081,3.8592730095694554,0.3408443276393739,0.2268158947138525,0.045337874392158,0.9772727272727272,0.0227272727272727,5.684341886080801e-13
COFACTOR-44,M9_REVIN_MSR,ExtraTrees-ST,7,44,3.633104361985904,3.857648979622794,0.2245446176368901,0.12217984447294,-0.0542007833619347,0.75,0.25,7.723046962837543e-06
COFACTOR-44,M9_REVIN_MSR,ExtraTrees-ST,14,44,3.6335329777395695,3.771369673650247,0.1378366959106778,0.0587018948921531,-0.121225621299304,0.6590909090909091,0.3409090909090909,0.0014178538478404
COFACTOR-44,M9_REVIN_MSR,ExtraTrees-ST,30,44,3.534541097309916,3.706230800559292,0.1716897032493766,0.0655173788142224,-0.0070937999032677,0.8863636363636364,0.1136363636363636,7.955077307997271e-08
COFACTOR-44,M9_REVIN_MSR,HistGBDT-ST,3,44,3.518428681930081,4.121056584021682,0.602627902091601,0.3850907122251081,0.1252446736061166,1.0,0.0,5.684341886080803e-14
COFACTOR-44,M9_REVIN_MSR,HistGBDT-ST,7,44,3.633104361985904,4.097348538842154,0.46424417685625,0.2551463065360234,0.0350726361684085,0.9318181818181818,0.0681818181818181,2.108890839735977e-11
COFACTOR-44,M9_REVIN_MSR,HistGBDT-ST,14,44,3.6335329777395695,3.96501467130703,0.33148169356746,0.1918490270530157,-0.0288479730372258,0.8863636363636364,0.1136363636363636,4.6006789489183575e-09
COFACTOR-44,M9_REVIN_MSR,HistGBDT-ST,30,44,3.534541097309916,3.867567498975624,0.3330264016657079,0.2170197869230752,0.0339113659204976,0.9545454545454546,0.0454545454545454,2.444267011014745e-12
COFACTOR-44,M9_REVIN_MSR,PARBoost,3,44,3.518428681930081,3.891350985206103,0.3729223032760225,0.2577053886662399,0.0823377450822752,1.0,0.0,5.684341886080803e-14
COFACTOR-44,M9_REVIN_MSR,PARBoost,7,44,3.633104361985904,3.9274154584481695,0.2943110964622673,0.1898426670138442,0.0359813674887832,0.9090909090909092,0.0909090909090909,1.4381384971784428e-11
COFACTOR-44,M9_REVIN_MSR,PARBoost,14,44,3.6335329777395695,3.83224471065072,0.1987117329111494,0.1283215620023071,-0.0573826604134924,0.8181818181818182,0.1818181818181818,2.2982732161835886e-07
COFACTOR-44,M9_REVIN_MSR,PARBoost,30,44,3.534541097309916,3.742703502495439,0.2081624051855237,0.145406513803138,0.0092031806335101,0.9090909090909092,0.0909090909090909,4.943672138324473e-10
