MAE,RMSE,sMAPE,sigma_err,sigma_score,method,target,k,seed,mode,similarity,similarity_kind,msr,gate,calibrate,alpha,alpha_val_mae
1.1201752018590128,1.7963902875009363,18.682079606302334,1.404455480267939,3.7530181700357224,M9_REVIN_MSR,cofactor_6405,7,42,revin,False,stats,True,False,False,1.0,
1.1431358007392542,1.8161809343747983,18.93113529244838,1.4113915158255985,3.375637935504749,M11_REVIN_MSR_DPS_CAL,cofactor_6405,7,42,revin,True,profile,True,False,True,1.25,1.2433345154985087
1.159009593905003,1.9061275430464963,19.310217311492845,1.5133842967190587,4.409617142724027,M9_REVIN_MSR,cofactor_6405,14,42,revin,False,stats,True,False,False,1.0,
1.070990196940298,1.6360365256521663,18.528353245504327,1.2368527055764555,3.2110640962623145,M11_REVIN_MSR_DPS_CAL,cofactor_6405,14,42,revin,True,profile,True,False,True,1.25,1.1635577593960904
1.090691732864186,1.683924916378996,18.907197234446684,1.2830509281485951,3.0989533990055618,M9_REVIN_MSR,cofactor_6405,30,42,revin,False,stats,True,False,False,1.0,
1.0190137254763436,1.541261479224637,18.131594954826767,1.1564085623800173,2.7381361255612324,M11_REVIN_MSR_DPS_CAL,cofactor_6405,30,42,revin,True,profile,True,False,True,1.25,1.086033615994843
1.7223038566930682,2.4977949300777857,20.781501253635746,1.8091700657274168,2.5608481178843623,M9_REVIN_MSR,cofactor_6406,3,42,revin,False,stats,True,False,False,1.0,
1.8215879674024247,2.698784222670589,22.160061487178844,1.9914305484057293,2.818720468232769,M11_REVIN_MSR_DPS_CAL,cofactor_6406,3,42,revin,True,profile,True,False,True,1.25,1.6744724543746399
1.7888775644229842,2.598108504560274,21.792479292277907,1.8842956712636645,2.6834842319597336,M9_REVIN_MSR,cofactor_6406,7,42,revin,False,stats,True,False,False,1.0,
1.6574689285022925,2.3536293310851937,20.215880877795826,1.6711521507474474,2.5721645910203828,M11_REVIN_MSR_DPS_CAL,cofactor_6406,7,42,revin,True,profile,True,False,True,1.25,1.5193583294071078
1.762556384838173,2.512216697888476,21.863803177586433,1.7902697610502047,2.582319136697257,M9_REVIN_MSR,cofactor_6406,14,42,revin,False,stats,True,False,False,1.0,
1.6091980512413697,2.262981397572806,19.95203804420525,1.5911984528787366,2.568933279717807,M11_REVIN_MSR_DPS_CAL,cofactor_6406,14,42,revin,True,profile,True,False,True,1.25,1.4493689034848736
1.6975932929138888,2.3827808159581036,21.28705216713954,1.672185286575058,2.4861062700573693,M9_REVIN_MSR,cofactor_6406,30,42,revin,False,stats,True,False,False,1.0,
1.5990119302338452,2.226800523301848,19.93892110696115,1.5498805620983815,2.4748884198522996,M11_REVIN_MSR_DPS_CAL,cofactor_6406,30,42,revin,True,profile,True,False,True,1.25,1.427411389985002
1.5968612720986992,2.4404688093908886,16.557865351800206,1.8456461828049346,2.7295683738896117,M9_REVIN_MSR,cofactor_6407,3,42,revin,False,stats,True,False,False,1.0,
1.7752001953371732,2.7618459780456024,18.202212332661716,2.1159155284849636,2.793243226939903,M11_REVIN_MSR_DPS_CAL,cofactor_6407,3,42,revin,True,profile,True,False,True,1.25,1.8971547588025304
1.641971221640718,2.5026312893339577,17.23631021840596,1.888810393626822,2.7644950991974255,M9_REVIN_MSR,cofactor_6407,7,42,revin,False,stats,True,False,False,1.0,
1.755651488152616,2.669818594700435,18.13121050969934,2.011516476032976,2.661253848150207,M11_REVIN_MSR_DPS_CAL,cofactor_6407,7,42,revin,True,profile,True,False,True,1.25,1.8282529209028766
1.784196091904393,2.8430491475553628,18.673239164057712,2.213656342796746,3.1626109142092345,M9_REVIN_MSR,cofactor_6407,14,42,revin,False,stats,True,False,False,1.0,
1.742331256559377,2.737431616294863,18.3182398017435,2.1115046832013853,2.891956735405173,M11_REVIN_MSR_DPS_CAL,cofactor_6407,14,42,revin,True,profile,True,False,True,1.25,1.8050465633057335
1.5508251633705794,2.242269697957183,16.830215882316867,1.6195957201414117,2.5341265730958566,M9_REVIN_MSR,cofactor_6407,30,42,revin,False,stats,True,False,False,1.0,
1.5003748837891464,2.1328654133592444,16.383941151611065,1.516020832013425,2.5881289759288064,M11_REVIN_MSR_DPS_CAL,cofactor_6407,30,42,revin,True,profile,True,False,True,1.25,1.4913959088594368
5.5641100031826,9.858207103449383,7.1988273955277595,8.138428380616501,3.763849878581814,M9_REVIN_MSR,cofactor_6408,3,42,revin,False,stats,True,False,False,1.0,
5.914232660559333,10.750614674029922,7.834211951451032,8.978230888305278,3.964719411865219,M11_REVIN_MSR_DPS_CAL,cofactor_6408,3,42,revin,True,profile,True,False,True,1.0,7.019034696852351
5.660489437514717,9.9478606608159,7.403613312815985,8.180952000025373,3.6663093834875795,M9_REVIN_MSR,cofactor_6408,7,42,revin,False,stats,True,False,False,1.0,
6.254634875164858,11.031726570713605,8.394599674741743,9.087896762917323,3.87371965952313,M11_REVIN_MSR_DPS_CAL,cofactor_6408,7,42,revin,True,profile,True,False,True,1.0,7.519191861237657
5.71373439573473,10.21914756586368,7.658695002771304,8.473138059602801,3.9860000819857433,M9_REVIN_MSR,cofactor_6408,14,42,revin,False,stats,True,False,False,1.0,
5.733349303556485,10.139249380093108,7.782301242295542,8.36317416040574,3.781434644197385,M11_REVIN_MSR_DPS_CAL,cofactor_6408,14,42,revin,True,profile,True,False,True,1.0,6.852787886657452
5.384193792877715,9.280913219753057,7.599511011704917,7.560003348407827,3.7894521161337984,M9_REVIN_MSR,cofactor_6408,30,42,revin,False,stats,True,False,False,1.0,
5.301944900582517,8.885341576015728,7.556612423347456,7.130613772839579,3.5585277399224813,M11_REVIN_MSR_DPS_CAL,cofactor_6408,30,42,revin,True,profile,True,False,True,1.25,6.378476751617467
1.56535629212772,2.3268141297008897,12.779542910500938,1.7216700581192237,3.0104171336494905,M9_REVIN_MSR,cofactor_6409,3,42,revin,False,stats,True,False,False,1.0,
1.7233745682361936,2.5454356246422365,13.991534786495224,1.8734259513384703,2.7487515095917976,M11_REVIN_MSR_DPS_CAL,cofactor_6409,3,42,revin,True,profile,True,False,True,1.0,1.7065662587247756
1.6204411066355207,2.407647335322814,13.326880652347018,1.7808397120470596,3.049069853474575,M9_REVIN_MSR,cofactor_6409,7,42,revin,False,stats,True,False,False,1.0,
1.8641670207826933,2.794422507912309,14.571572022159462,2.0818978436535014,2.9731060278079693,M11_REVIN_MSR_DPS_CAL,cofactor_6409,7,42,revin,True,profile,True,False,True,1.0,1.8850699694031634
1.6758150026935266,2.4776714193610547,13.739553972151539,1.8250962554824737,3.158272093331092,M9_REVIN_MSR,cofactor_6409,14,42,revin,False,stats,True,False,False,1.0,
1.6867302283244696,2.49831381154892,13.725251099128291,1.8430949750917174,2.897481252236765,M11_REVIN_MSR_DPS_CAL,cofactor_6409,14,42,revin,True,profile,True,False,True,1.25,1.684940809528154
1.5978586920391034,2.3775575233486603,13.106089991410572,1.7607018320584185,2.9065338423444653,M9_REVIN_MSR,cofactor_6409,30,42,revin,False,stats,True,False,False,1.0,
1.6106342217689367,2.388351648417321,13.254345159808247,1.7636683532939708,2.8960955396549695,M11_REVIN_MSR_DPS_CAL,cofactor_6409,30,42,revin,True,profile,True,False,True,1.0,1.6044471418823627
4.98213325267912,6.468745162820103,6.6544491072798415,4.126180134818644,1.8455122513318882,M9_REVIN_MSR,cofactor_6410,3,42,revin,False,stats,True,False,False,1.0,
5.006777453586213,6.586395141466182,6.6695844728246785,4.279638866972889,1.903392258043616,M11_REVIN_MSR_DPS_CAL,cofactor_6410,3,42,revin,True,profile,True,False,True,1.25,5.227466192446722
5.082029729639221,6.634668054456374,6.803750598260826,4.265478362140063,1.8517792236677841,M9_REVIN_MSR,cofactor_6410,7,42,revin,False,stats,True,False,False,1.0,
